arm_wheel_angle:	19.167
arm_wheel_length:	24.500

steering_angle	valid_steering_angle	achermann_left_wheel	achermann_right_wheel	left_wheel_angle	right_wheel_angle	left_wheel_error	right_wheel_error	servo_angle	servo_raw_angle
1.800	1.800	1.822	1.778	0.229	3.126	1.594	-1.348	3.181	81.000	
1.900	1.900	1.925	1.876	0.409	3.251	1.516	-1.375	3.310	81.000	
2.000	2.000	2.028	1.973	0.588	3.376	1.439	-1.403	3.438	81.000	
2.100	2.100	2.130	2.071	0.767	3.501	1.363	-1.430	3.567	81.000	
2.200	2.200	2.233	2.168	0.946	3.625	1.288	-1.458	3.696	81.000	
2.300	2.300	2.337	2.265	1.124	3.750	1.213	-1.485	3.825	81.000	
2.400	2.400	2.440	2.362	1.301	3.874	1.138	-1.513	3.953	81.000	
2.500	2.500	2.543	2.458	1.479	3.999	1.065	-1.541	4.082	80.000	
2.600	2.600	2.647	2.555	1.655	4.123	0.992	-1.568	4.211	80.000	
2.700	2.700	2.750	2.651	1.831	4.247	0.919	-1.596	4.339	80.000	
2.800	2.800	2.854	2.748	2.007	4.371	0.847	-1.624	4.468	80.000	
2.900	2.900	2.958	2.844	2.182	4.495	0.776	-1.651	4.597	80.000	
3.000	3.000	3.062	2.940	2.357	4.619	0.705	-1.679	4.726	80.000	
3.100	3.100	3.167	3.036	2.531	4.743	0.635	-1.707	4.855	80.000	
3.200	3.200	3.271	3.132	2.705	4.867	0.566	-1.735	4.983	80.000	
3.300	3.300	3.376	3.228	2.879	4.991	0.497	-1.763	5.112	79.000	
3.400	3.400	3.480	3.323	3.052	5.114	0.429	-1.791	5.241	79.000	
3.500	3.500	3.585	3.419	3.224	5.238	0.361	-1.819	5.370	79.000	
3.600	3.600	3.690	3.514	3.396	5.361	0.294	-1.847	5.499	79.000	
3.700	3.700	3.795	3.609	3.568	5.484	0.227	-1.875	5.628	79.000	
3.800	3.800	3.901	3.705	3.739	5.607	0.161	-1.903	5.757	79.000	
3.900	3.900	4.006	3.800	3.910	5.730	0.096	-1.931	5.886	79.000	
4.000	4.000	4.112	3.894	4.081	5.853	0.031	-1.959	6.015	78.000	
4.100	4.100	4.217	3.989	4.251	5.976	-0.034	-1.987	6.144	78.000	
4.200	4.200	4.323	4.084	4.420	6.099	-0.097	-2.015	6.273	78.000	
4.300	4.300	4.429	4.178	4.590	6.222	-0.161	-2.044	6.402	78.000	
4.400	4.400	4.535	4.273	4.759	6.344	-0.223	-2.072	6.531	78.000	
4.500	4.500	4.642	4.367	4.927	6.467	-0.285	-2.100	6.660	78.000	
4.600	4.600	4.748	4.461	5.095	6.590	-0.347	-2.129	6.789	78.000	
4.700	4.700	4.855	4.555	5.263	6.712	-0.408	-2.157	6.919	78.000	
4.800	4.800	4.961	4.649	5.430	6.834	-0.469	-2.185	7.048	77.000	
4.900	4.900	5.068	4.743	5.597	6.956	-0.529	-2.214	7.177	77.000	
5.000	5.000	5.175	4.836	5.764	7.078	-0.588	-2.242	7.306	77.000	
5.100	5.100	5.283	4.930	5.930	7.201	-0.647	-2.271	7.436	77.000	
5.200	5.200	5.390	5.023	6.096	7.322	-0.706	-2.299	7.565	77.000	
5.300	5.300	5.497	5.116	6.261	7.444	-0.764	-2.328	7.694	77.000	
5.400	5.400	5.605	5.209	6.426	7.566	-0.821	-2.357	7.824	77.000	
5.500	5.500	5.713	5.303	6.591	7.688	-0.878	-2.385	7.953	77.000	
5.600	5.600	5.821	5.395	6.756	7.809	-0.935	-2.414	8.082	76.000	
5.700	5.700	5.929	5.488	6.920	7.931	-0.991	-2.443	8.212	76.000	
5.800	5.800	6.037	5.581	7.083	8.052	-1.046	-2.471	8.341	76.000	
5.900	5.900	6.145	5.673	7.247	8.174	-1.101	-2.500	8.471	76.000	
6.000	6.000	6.254	5.766	7.410	8.295	-1.156	-2.529	8.600	76.000	
6.100	6.100	6.363	5.858	7.573	8.416	-1.210	-2.558	8.730	76.000	
6.200	6.200	6.471	5.950	7.735	8.537	-1.263	-2.587	8.859	76.000	
6.300	6.300	6.580	6.042	7.897	8.658	-1.316	-2.616	8.989	76.000	
6.400	6.400	6.690	6.134	8.059	8.779	-1.369	-2.645	9.119	75.000	
